Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2017,Unprovoked,BAHAMAS,Spearfishing,M,NA,N
2017,Unprovoked,"ST HELENA, British overseas territory",Surfing,M,37,N
2017,Unprovoked,USA,NA,F,NA,N
2017,Unprovoked,SPAIN,Swimming,F,NA,N
2017,Unprovoked,USA,NA,F,40,N
2017,Invalid,USA,Swimming,F,8,NA
2017,Boating,USA,Kayaking,M,40,N
2017,Unprovoked,USA,SUP,M,50,N
2017,Unprovoked,USA,Surfing,M,NA,N
2017,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2017,Boating,USA,Kayaking,M,NA,N
2017,Unprovoked,USA,Swimming,M,46,N
2017,Provoked,MEXICO,Fishing,M,32,N
2017,Unprovoked,SOUTH AFRICA,Surfing,F,13,N
2017,Invalid,COMOROS,Fishing,NA,NA,NA
2017,Invalid,USA,Fishing,M,NA,NA
2017,Unprovoked,USA,Swimming,F,16,N
2017,Unprovoked,USA,Surfing,M,NA,N
2017,Unprovoked,USA,Swimming,F,14,N
2017,Unprovoked,REUNION,Body boarding,M,34,N
2017,Unprovoked,SPAIN,Swimming,M,82,N
2017,Unprovoked,FRENCH POLYNESIA,Surfing,M,NA,N
2017,Unprovoked,BAHAMAS,Feeding sharks,F,NA,N
2017,Unprovoked,AUSTRALIA,Body boarding,M,48,N
2017,Unprovoked,AUSTRALIA,Surfing,F,NA,N
2017,Unprovoked,USA,Surfing,M,19,N
2017,Unprovoked,UNITED KINGDOM,Surfing,M,30,N
2017,Unprovoked,USA,Spearfishing,M,NA,N
2017,Unprovoked,BAHAMAS,Snorkeling,F,32,N
2017,Provoked,USA,Touching a shark,F,20,N
2017,Unprovoked,USA,Feeding sharks,M,NA,N
2017,Invalid,AUSTRALIA,Fishing,M,73,N
2017,Unprovoked,UNITED ARAB EMIRATES,Spearfishing,M,41,N
2017,Provoked,AUSTRALIA,Attempting to lasso a shark,M,29,N
2017,Unprovoked,MEXICO,Snorkeling,M,33,Y
2017,Invalid,USA,Surfing,F,18,NA
2017,Unprovoked,USA,Swimming,F,NA,N
2017,Unprovoked,SOUTH AFRICA,Surfing,M,14,N
2017,Unprovoked,USA,Surfing,F,33,N
2017,Unprovoked,REUNION,Body boarding,M,28,Y
2017,Unprovoked,NEW ZEALAND,Body boarding,F,20s,N
2017,Invalid,USA,Photo shoot,F,NA,NA
2017,Unprovoked,"ST HELENA, British overseas territory",Snorkeling,F,40,N
2017,Invalid,USA,Swimming,M,NA,NA
2017,Unprovoked,USA,NA,NA,NA,N
2017,Unprovoked,AUSTRALIA,Surfing,F,17,Y
2017,Unprovoked,USA,Surfing,M,28,N
2017,Unprovoked,USA,Surfing,M,17,N
2017,Unprovoked,USA,Surfing,F,NA,N
2017,Invalid,SOUTH AFRICA,Scuba Diving,M,68,NA
2017,Unprovoked,USA,Surfing,F,35,N
2017,Unprovoked,USA,Paddle boarding,F,10,N
2017,Unprovoked,USA,Swimming,F,21,N
2017,Unprovoked,USA,Swimming,M,16,N
2017,Unprovoked,USA,Swimming,F,51,N
2017,Unprovoked,AUSTRALIA,Kakaying,M,39,N
2017,Unprovoked,USA,Swimming,F,17,N
2017,Unprovoked,USA,Surfing,M,58,N
2017,Unprovoked,AUSTRALIA,Body boarding,M,30,N
2017,Boating,USA,Kayaking,M,NA,N
2017,Unprovoked,PHILIPPINES,Spearfishing,M,25,N
2017,Unprovoked,BAHAMAS,Washing hands,M,58,N
2017,Unprovoked,AUSTRALIA,Snorkeling,F,NA,N
2017,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2017,Unprovoked,REUNION,Body boarding,M,26,Y
2017,Unprovoked,AUSTRALIA,Spearfishing,M,26,N
